Area, Bachelor, 1-Bedroom, 2-Bedroom, 3-Bedroom +
Dunbar Southlands, 1259, 1265, 1585, 1790
Hastings-Sunrise, 1156, 1172, 1667, 1870
Mount Pleasant, 1259, 1265, 1585, 1790
Fairview, 1190, 1446, 1971, 2370
Downtown, 1306, 1590, 2428, 3511
West End, 1186,  1469, 2214, 3201
Killarney, 1306, 1590, 2428, 3511
Kerrisdale, 1127, 1444, 2153, 3071
Sunset, 1127, 1444, 2153, 3071
Marpole, 901, 1048, 1325, 1500
Kitsilano, 1136, 1442, 2021, 2727
Victoria-Fraserview, 1136, 1442, 2021, 2727
West Point Grey, 1136, 1442, 2021, 2727
Kensington-Cedar Cottage, 1136, 1442, 2021, 2727
Renfrew-Collingwood, 1259, 1265, 1585, 1790 
Oakridge, 1190, 1446, 1971, 2370
Riley Park, 1106, 1490, 1928, 2511
Shaughnessy, 1136, 1442, 2021, 2727
Grandview-Woodland, 1259, 1265, 1585, 1790
Arbutus Ridge, 1106, 1490, 1928, 2511
South Cambie, 1190, 1446, 1971, 2370
Downtown Eastside, 986, 1166, 1502, 1698
Strathcona\n, 1127, 1444, 2153, 3071
All, 1198, 1410, 1967, 2417


Dunbar Southlands
Hastings-Sunrise
Mount Pleasant
Fairview
Downtown
West End
Killarney
Kerrisdale
Sunset
Marpole
Kitsilano
Victoria-Fraserview
West Point Grey
Kensington-Cedar Cottage
Renfrew-Collingwood 
Oakridge
Riley Park
Shaughnessy
Grandview-Woodland
Arbutus Ridge
South Cambie
Downtown Eastside
Strathcona